,data,totale_casi
0,2020-02-24T18:00:00,0
1,2020-02-25T18:00:00,30
2,2020-02-26T18:00:00,40
3,2020-02-27T18:00:00,59
4,2020-02-28T18:00:00,68
5,2020-02-29T17:00:00,81
6,2020-03-01T17:00:00,105
7,2020-03-02T17:00:00,135
8,2020-03-03T17:00:00,144
9,2020-03-04T17:00:00,162
10,2020-03-05T17:00:00,175
11,2020-03-06T18:00:00,198
12,2020-03-07T18:00:00,216
13,2020-03-08T18:00:00,255
14,2020-03-09T18:00:00,273
15,2020-03-10T18:00:00,296
16,2020-03-11T17:00:00,373
17,2020-03-12T17:00:00,439
18,2020-03-13T17:00:00,523
19,2020-03-14T17:00:00,611
20,2020-03-15T17:00:00,658
21,2020-03-16T17:00:00,715
22,2020-03-17T17:00:00,781
23,2020-03-18T17:00:00,882
24,2020-03-19T17:00:00,924
25,2020-03-20T17:00:00,1026
26,2020-03-21T17:00:00,1155
27,2020-03-22T17:00:00,1277
28,2020-03-23T17:00:00,1371
29,2020-03-24T17:00:00,1464
30,2020-03-25T17:00:00,1636
31,2020-03-26T17:00:00,1777
32,2020-03-27T17:00:00,1891
33,2020-03-28T17:00:00,2009
34,2020-03-29T17:00:00,2124
35,2020-03-30T17:00:00,2188
36,2020-03-31T17:00:00,2264
37,2020-04-01T17:00:00,2368
38,2020-04-02T17:00:00,2489
39,2020-04-03T17:00:00,2553
40,2020-04-04T17:00:00,2632
41,2020-04-05T17:00:00,2744
42,2020-04-06T17:00:00,2863
43,2020-04-07T17:00:00,2965
44,2020-04-08T17:00:00,3056
45,2020-04-09T17:00:00,3134
46,2020-04-10T17:00:00,3206
47,2020-04-11T17:00:00,3250
48,2020-04-12T17:00:00,3310
49,2020-04-13T17:00:00,3354
50,2020-04-14T17:00:00,3407
51,2020-04-15T17:00:00,3450
52,2020-04-16T17:00:00,3537
53,2020-04-17T17:00:00,3591
54,2020-04-18T17:00:00,3633
55,2020-04-19T17:00:00,3667
56,2020-04-20T17:00:00,3693
57,2020-04-21T17:00:00,3721
58,2020-04-22T17:00:00,3751
59,2020-04-23T17:00:00,3769
60,2020-04-24T17:00:00,3794
61,2020-04-25T17:00:00,3802
62,2020-04-26T17:00:00,3818
63,2020-04-27T17:00:00,3827
64,2020-04-28T17:00:00,3836
65,2020-04-29T17:00:00,3836
66,2020-04-30T17:00:00,3851
67,2020-05-01T17:00:00,3862
68,2020-05-02T17:00:00,3867
69,2020-05-03T17:00:00,3867
70,2020-05-04T17:00:00,3871
71,2020-05-05T17:00:00,3876
72,2020-05-06T17:00:00,3879
73,2020-05-07T17:00:00,3885
74,2020-05-08T17:00:00,3889
75,2020-05-09T17:00:00,3891
76,2020-05-10T17:00:00,3895
77,2020-05-11T17:00:00,3900
78,2020-05-12T17:00:00,3903
79,2020-05-13T17:00:00,3904
80,2020-05-14T17:00:00,3907
81,2020-05-15T17:00:00,3908
82,2020-05-16T17:00:00,3912
83,2020-05-17T17:00:00,3914
84,2020-05-18T17:00:00,3915
85,2020-05-19T17:00:00,3916
86,2020-05-20T17:00:00,3919
87,2020-05-21T17:00:00,3923
88,2020-05-22T17:00:00,3926
89,2020-05-23T17:00:00,3927
90,2020-05-24T17:00:00,3927
91,2020-05-25T17:00:00,3928
92,2020-05-26T17:00:00,3929
93,2020-05-27T17:00:00,3929
94,2020-05-28T17:00:00,3930
95,2020-05-29T17:00:00,3931
96,2020-05-30T17:00:00,3931
97,2020-05-31T17:00:00,3932
98,2020-06-01T17:00:00,3933
99,2020-06-02T17:00:00,3933
100,2020-06-03T17:00:00,3932
101,2020-06-04T17:00:00,3932
102,2020-06-05T17:00:00,3932
103,2020-06-06T17:00:00,3933
104,2020-06-07T17:00:00,3933
105,2020-06-08T17:00:00,3933
106,2020-06-09T17:00:00,3934
107,2020-06-10T17:00:00,3935
108,2020-06-11T17:00:00,3934
109,2020-06-12T17:00:00,3933
110,2020-06-13T17:00:00,3942
111,2020-06-14T17:00:00,3942
112,2020-06-15T17:00:00,3943
113,2020-06-16T17:00:00,3943
114,2020-06-17T17:00:00,3943
115,2020-06-18T17:00:00,3944
116,2020-06-19T17:00:00,3944
117,2020-06-20T17:00:00,3944
118,2020-06-21T17:00:00,3944
119,2020-06-22T17:00:00,3944
120,2020-06-23T17:00:00,3943
121,2020-06-24T17:00:00,3944
122,2020-06-25T17:00:00,3947
123,2020-06-26T17:00:00,3948
124,2020-06-27T17:00:00,3949
125,2020-06-28T17:00:00,3949
126,2020-06-29T17:00:00,3950
127,2020-06-30T17:00:00,3954
128,2020-07-01T17:00:00,3953
129,2020-07-02T17:00:00,3958
130,2020-07-03T17:00:00,3958
131,2020-07-04T17:00:00,3959
132,2020-07-05T17:00:00,3961
133,2020-07-06T17:00:00,3962
134,2020-07-07T17:00:00,3965
135,2020-07-08T17:00:00,3969
136,2020-07-09T17:00:00,3975
137,2020-07-10T17:00:00,3979
138,2020-07-11T17:00:00,3981
139,2020-07-12T17:00:00,3985
140,2020-07-13T17:00:00,3987
141,2020-07-14T17:00:00,3991
142,2020-07-15T17:00:00,3999
143,2020-07-16T17:00:00,4011
144,2020-07-17T17:00:00,4028
145,2020-07-18T17:00:00,4043
146,2020-07-19T17:00:00,4074
147,2020-07-20T17:00:00,4108
148,2020-07-21T17:00:00,4119
149,2020-07-22T17:00:00,4136
150,2020-07-23T17:00:00,4157
