"Age","Total males","Total females","Total"
"0","190323","180121","370444"
"1","197611","186695","384306"
"2","206419","194040","400459"
"3","210340","200030","410370"
"4","214926","202396","417322"
"5","222842","211603","434445"
"6","233061","219804","452865"
"7","242862","228799","471661"
"8","249598","236480","486078"
"9","256301","241967","498268"
"10","263808","249042","512850"
"11","267634","252606","520240"
"12","279153","263293","542446"
"13","283906","267418","551324"
"14","292623","274348","566971"
"15","297129","278981","576110"
"16","301174","283002","584176"
"17","304082","281585","585667"
"18","308610","282049","590659"
"19","310302","280764","591066"
"20","315851","285187","601038"
"21","310955","281363","592318"
"22","307829","279541","587370"
"23","311257","282297","593554"
"24","321551","288199","609750"
"25","319373","285037","604410"
"26","323820","285892","609712"
"27","319455","287341","606796"
"28","319250","289434","608684"
"29","316695","289969","606664"
"30","317976","295418","613394"
"31","321529","302537","624066"
"32","334369","316185","650554"
"33","331201","316501","647702"
"34","338466","322587","661053"
"35","334774","323937","658711"
"36","343278","331787","675065"
"37","334792","326745","661537"
"38","335122","328730","663852"
"39","344115","339624","683739"
"40","349829","345539","695368"
"41","355250","351434","706684"
"42","366232","363975","730207"
"43","366446","366781","733227"
"44","376756","374270","751026"
"45","385198","387769","772967"
"46","405626","407453","813079"
"47","416653","421507","838160"
"48","433745","439469","873214"
"49","453374","460066","913440"
"50","470661","478120","948781"
"51","466019","476206","942225"
"52","470425","479491","949916"
"53","472185","485557","957742"
"54","467132","480340","947472"
"55","477896","493125","971021"
"56","472518","489210","961728"
"57","472133","491558","963691"
"58","476791","494196","970987"
"59","473532","492448","965980"
"60","477410","498680","976090"
"61","443408","469013","912421"
"62","425244","452688","877932"
"63","413395","443029","856424"
"64","398295","427824","826119"
"65","385440","415504","800944"
"66","364132","396608","760740"
"67","357078","391012","748090"
"68","346931","381275","728206"
"69","336949","373413","710362"
"70","327296","366305","693601"
"71","309419","345976","655395"
"72","298692","339271","637963"
"73","293324","335729","629053"
"74","298416","344840","643256"
"75","294556","343401","637957"
"76","299701","354698","654399"
"77","285137","341593","626730"
"78","275149","336739","611888"
"79","203700","255035","458735"
"80","201182","257468","458650"
"81","192219","254118","446337"
"82","181361","245572","426933"
"83","171791","239824","411615"
"84","175905","252903","428808"
"85","160749","236779","397528"
"86","140581","216733","357314"
"87","116101","186345","302446"
"88","94426","160538","254964"
"89","82685","147995","230680"
"90","66918","127832","194750"
"91","52563","107315","159878"
"92","40431","89328","129759"
"93","31061","73900","104961"
"94","23578","62292","85870"
"95","15525","44568","60093"
"96","10315","33002","43317"
"97","6907","23882","30789"
"98","4424","16786","21210"
"99","2584","11410","13994"
"100 and over","3976","18676","22652"
"Total","28871717","30071747","58943464"
